Samaje,Perine,MIA,1,1.6,5,16,0,0,0,0
Roosevelt,Nix,NULL,2,1.4,0,0,0,3,4,0
Ricky,Ortiz,NO,1,1.3,0,0,0,1,8,0
Josh,Adams,NYJ,2,1.2,8,12,0,0,0,0
Damien,Harris,NE,1,1.2,4,12,0,0,0,0
Dexter,Williams,GB,2,1.1,5,11,0,0,0,0
Buddy,Howell,HOU,2,1,5,10,0,0,0,0
Jakob,Johnson,NE,1,1,0,0,0,2,5,0
Senorise,Perry,NULL,1,0.9,3,3,0,1,1,0
John,Kelly,LAR,1,0.9,3,9,0,0,0,0
Jordan,Scarlett,CAR,1,0.9,4,9,0,0,0,0
Josh,Ferguson,WAS,1,0.9,3,9,0,0,0,0
Ryan,Nall,CHI,1,0.8,2,8,0,0,0,0
Tony,Brooks-James,MIN,3,0.7,8,7,0,0,0,0
De'Lance,Turner,MIA,1,0.6,4,6,0,0,0,0
Alfred,Morris,NULL,1,0.4,1,4,0,0,0,0
James,Develin,NE,1,0.3,2,3,0,0,0,0
Michael,Burton,NULL,1,0,0,0,0,1,0,0
Corey,Clement,NULL,2,0,0,0,0,0,0,0
Jamize,Olawale,DAL,2,0,0,0,0,2,0,0
