Jordan,Matthews,NULL,2,5.3,12,4,33,0
Bobo,Wilson,NULL,4,5,10,3,35,0
Devin,Funchess,NULL,1,4.7,5,3,32,0
Steven,Mitchell,HOU,2,4.7,6,2,37,0
Johnny,Holton,NULL,8,4.5,15,3,21,0
Ishmael,Hyman,CAR,2,4.4,4,2,34,0
Gunner,Olszewski,NE,3,4.4,4,2,34,0
Cody,Core,NYG,1,4.3,5,3,28,0
Andre,Roberts,BUF,5,4.2,7,3,20,0
Michael,Crabtree,NULL,2,4.2,5,4,22,0
C.J.,Board,JAX,2,4.1,4,2,31,0
Russell,Shepard,NYG,2,4,8,3,25,0
Donte,Moncrief,NULL,4,3.8,15,4,18,0
Cam,Sims,WAS,2,3.7,3,2,27,0
Da'Mari,Scott,NYG,2,3.7,3,2,22,0
Chris,Moore,NULL,4,3.6,5,3,21,0
Ryan,Grant,NULL,2,3.4,9,4,14,0
Marqise,Lee,JAX,4,3.4,4,3,18,0
Stanley,Morgan,CIN,5,3.3,10,3,18,0
Fred,Brown,DEN,2,3.1,3,2,21,0
Josh,Bellamy,NYJ,2,3,3,2,20,0
Robert,Davis,PHI,3,2.7,5,2,17,0
Ashton,Dulin,IND,2,2.7,2,2,17,0
Darius,Jennings,NULL,4,2.7,6,2,17,0
Michael,Walker,JAX,4,2.5,3,2,15,0
Mike,Thomas,NULL,3,2.4,5,2,14,0
Cody,Hollister,TEN,1,2.3,2,2,13,0
Rashard,Davis,TEN,1,2.1,1,1,16,0
Jeff,Smith,NYJ,1,1.7,2,1,12,0
De'Anthony,Thomas,BAL,3,1.6,2,1,6,0
John,Ursua,SEA,1,1.6,1,1,11,0
Austin,Carr,NO,2,1.4,4,1,9,0
Dwayne,Harris,NULL,1,1.2,1,1,7,0
Jaleel,Scott,BAL,1,1.1,3,1,6,0
Krishawn,Hogan,NO,1,0.9,1,1,4,0
Cyril,Grayson,TB,1,0.8,1,1,3,0
Darrius,Shepherd,GB,1,0.6,2,1,1,0
Quincy,Enunwa,NYJ,1,0.1,3,1,-4,0
Lil'Jordan,Humphrey,NO,1,0,1,0,0,0
Jalen,Guyton,LAC,1,0,2,0,0,0
Greg,Dortch,LAR,1,0,0,0,0,0
Chad,Williams,IND,1,0,1,0,0,0
Travis,Fulgham,DET,2,0,3,0,0,0
Taywan,Taylor,CLE,1,0,1,0,0,0
Ray-Ray,McCloud,BUF,1,0,0,0,0,0
